name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Ermine Stoltenberg; 95;160501;German;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2001
Benjaman Weimann;242;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Leisure Sci;Master's Degrees;2001
Ilona Kuhic;444;510707;Health Info/Med Records Tech;Career & Tech Ed;Business Education;Health Information Technology;Associate Degrees;2001
Otha Borer DVM;498;261309;Epidemiology;School of Medicine;School of Medicine;Public Health Studies;Doctoral Degrees;2001
Shaylee Christiansen;228;511005;Medical Technology;School of Medicine;School of Medicine;Medical Technology;Bachelor's Degrees;2001
Nicki Gleichner;331;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Master's Degrees;2001
Ms. Kris Rippin;277;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;General Business Admin;Bachelor's Degrees;2001
Dr. Hildred Botsford;305;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Bachelor's Degrees;2001
Lavada West;307;151303;Arch Engineering & CAD Tech;Career & Tech Ed;Technology;Architectural Eng & CAD Tech;Associate Degrees;2001
Linna Bergstrom-Shields;287;422803;Counseling Psychology;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2001
Edgar Reinger;312;470604;Automotive Mechanics Tech;Career & Tech Ed;Technology;Automotive Tech;Certs of Achievement;2001
Virgil Mills;211;500301;Dance;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Bachelor's Degrees;2001
Stafford Morissette V;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Skye Raynor;499;220302;Paralegal;Career & Tech Ed;Public Services;Paralegal;Certs of Achievement;2001
Ambrose Mueller II;134;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Doctoral Degrees;2001
Ms. Christal Wisozk MD;155;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Master's Degrees;2001
Ardell Purdy;225;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2001
Georgie Hermiston;354; 40301;Urban & Regional Planning Prog;College of Arts & Sciences;Social Sciences;Urban & Reg Planning;Master's Degrees;2001
Margarita Daniel-Adams;209;240103;Humanities;Humanities Division;Humanities;English;Bachelor's Degrees;2001
Terrance Roob;188;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Certs of Achievement;2001
Marietta Hermann;414;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Information Technology;Bachelor's Degrees;2001
Laurie Powlowski;469;261302;Marine Biology & Bio Ocean;College of Arts & Sciences;Natural Sciences;Biology Program;Master's Degrees;2001
Ms. Gertha Witting;257;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Certs of Achievement;2001
Mr. Troy Hudson DVM;436;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Certs of Achievement;2001
Adria Davis MD;134;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Music;Doctoral Degrees;2001
Arah Schimmel PhD;333;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2001
Eldridge Jones-Jerde;462;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Business;Associate Degrees;2001
Eliseo Ortiz PhD;124;160102;Linguistics;Ka Haka Ula O Keelikolani;Linguistics;;Bachelor's Degrees;2001
Dr. Camille Sawayn DVM;382;513818;Nursing Practice;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Other;2001
Miss Rita Hayes PhD;276;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Computer Science;Bachelor's Degrees;2001
Pearle Veum;432;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Bachelor's Degrees;2001
Lennie Rempel; 93;440701;Social Work;School of Social Work;School of Social Work;Social Work;Bachelor's Degrees;2001
Mr. Reid Kuphal Sr.; 15;451001;Political Science/Government;College of Arts & Sciences;Social Sciences;Political Science;Doctoral Degrees;2001
Delfina Grady MD;107;301901;Food Science & Human Nutrition;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Master's Degrees;2001
Mrs. Janessa Beier PhD;186;240103;Humanities;Humanities Division;Humanities;Hawaiian/Pacific Studies;Bachelor's Degrees;2001
Sigurd Bashirian III;154;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology;Bachelor's Degrees;2001
Maceo Mante; 57;520904;Hotel Operations;Career & Tech Ed;Business Education;Hospitality & Tourism;Associate Degrees;2001
Mrs. Michell Schuppe;281;131202;Elementary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2001
Tiara Jacobi; 55;130901;Educational Foundations;College of Education;Education;Ed Foundations;Master's Degrees;2001
Farah Quitzon-Hackett; 86; 50202;American Indian/Native Studies;Hawai`inuiakea Sch Hawn Knowledge;Hawaiian Studies;Hawaiian Studies;Bachelor's Degrees;2001
Knox Heidenreich; 52;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Performing Arts;Bachelor's Degrees;2001
Taniya Bergnaum-Feeney; 61;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Other;2001
Courtland Langosh-Sipes;427; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Certs of Achievement;2001
Rozella Stanton;497;520901;Hospitality Admin/Mgmt, Ge;Career & Tech Ed;Business Education;Hospitality & Tourism;Other;2001
Mr. Knute Okuneva V;417;520301;Accounting;Col of Business & Economics;Business & Economics;Accounting;Bachelor's Degrees;2001
Romello Mueller;473;513101;Dietetics/Dietitian;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Bachelor's Degrees;2001
Roseanne Trantow;121;140801;Civil Engineering;College of Engineering;Engineering;Civil Engineering;Master's Degrees;2001
Ham Bednar;297;400601;Geology;College of Arts & Sciences;Natural Sciences;Geology;Bachelor's Degrees;2001
Kaylen DuBuque;125;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Certs of Achievement;2001
Mrs. Nathalie Franecki DDS; 68;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Associate Degrees;2001
Myrta Bergnaum MD;184;520903;Travel Industry Management;Career & Tech Ed;Business Education;Hospitality & Tourism;Certs of Achievement;2001
Caden Mayer;289;470608;Aircraft Powerplant Technology;Career & Tech Ed;Technology;Aeronautics Maint Tech;Certs of Achievement;2001
Penni Breitenberg;416;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Associate Degrees;2001
Mr. Fate Lemke V;190; 50127;Japanese Studies;College of Arts & Sciences;Arts & Humanities;Japanese Studies;Bachelor's Degrees;2001
Audrey King; 27;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Azaria Rolfson;382;513818;Nursing Practice;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Other;2001
Clarisa Zieme;256;460201;Carpentry;Career & Tech Ed;Technology;Carpentry Technology;Certs of Achievement;2001
Sylvania Lubowitz;476;450101;Social Sciences;Social Sciences Division;Social Science;Economics;Bachelor's Degrees;2001
Laureen Bode;196;240101;Liberal Arts;College of Arts & Sciences;Interdisciplinary Majors;Liberal Studies;Bachelor's Degrees;2001
Jaydin Blanda;462;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Business;Associate Degrees;2001
Bradly Hammes;449;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Culinary Management;Bachelor's Degrees;2001
Essence Wisozk;181;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Finance;Bachelor's Degrees;2001
Sage Auer;113;240101;Liberal Arts;General & Pre-Prof Ed;Liberal Arts;Liberal Arts;Associate Degrees;2001
Winnie Jacobs;255;521401;Marketing;Career & Tech Ed;Business Education;Marketing;Certs of Achievement;2001
Dr. Harris Koch III;359;150699;Applied Trades;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2001
Jarad Beahan-Stracke;353;310505;Exercise & Sports Science;Career & Tech Ed;Health Services;Exercise and Sport Science;Associate Degrees;2001
Zebulon Wuckert;111;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Master's Degrees;2001
Mr. Zackary Kautzer III;300;190203;Consumer Merchg & Retail Mgmt;Career & Tech Ed;Business Education;Retail Management;Certs of Achievement;2001
Ocie Gerlach;212;303301;Sustainability Studies;Career & Tech Ed;Business Education;Sustainable Science Management;Bachelor's Degrees;2001
Frazier Swift;291;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire & Envir Emergency Resp;Certs of Achievement;2001
Isla Fritsch;433;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Information Security Assurance;Bachelor's Degrees;2001
Cinda Buckridge;  1;513801;Registered Nursing/Reg Nurse;Career & Tech Ed;Health Services;Nursing;Associate Degrees;2001
Florie O'Kon-Funk;290;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Doctoral Degrees;2001
Corene McLaughlin;215;410101;Biology Technician;Career & Tech Ed;Technology;Agripharmatech;Certs of Achievement;2001
Dr. Kasey Windler;431;130501;Educational Tech;College of Education;Education;Learning Design & Technology;Master's Degrees;2001
Katheryn Bednar;278;120401;Cosmetology;Career & Tech Ed;Technology;Cosmetology;Certs of Achievement;2001
Stevie Heidenreich;389;500402;Communication Arts;Career & Tech Ed;Technology;Communication Arts;Associate Degrees;2001
Indiana Walsh;229;450701;Geography;College of Arts & Sciences;Social Sciences;Geography;Bachelor's Degrees;2001
Miss Bristol Ryan;318;160905;Spanish;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2001
Tania Wehner; 56;510201;Communication Disorders, Gen;School of Medicine;School of Medicine;Communication Sci & Disorders;Master's Degrees;2001
Diana Bailey;375;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Management;Certs of Achievement;2001
Asher Cremin;299;130301;Curriculum & Instruction;College of Education;Education;Curriculum Studies;Master's Degrees;2001
Maddison Gusikowski;133; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2001
Ethelbert Mraz;454;510801;Medical/Clinical Assistant;Career & Tech Ed;Health Services;Nursing;Certs of Achievement;2001
Casie Rau;493;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Bachelor's Degrees;2001
Lupe D'Amore;119;260305;Plant Pathology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Master's Degrees;2001
Paul Cassin; 33;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Certs of Achievement;2001
Signa Dietrich;213;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Master's Degrees;2001
Franklyn McGlynn;217;150701;Occuptnl Environmtl Safety Mgt;Career & Tech Ed;Public Services;Occupational Envir Safety Mgt;Certs of Achievement;2001
Etha Hilpert PhD;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2001
Alline Schuppe-Rohan;455;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Hospitality and Tourism;Bachelor's Degrees;2001
Mr. Jettie Fisher;255;521401;Marketing;Career & Tech Ed;Business Education;Marketing;Certs of Achievement;2001
Louie Maggio;330; 40401;EnvironmentalDesign/Arch;School of Architecture;School of Architecture;Environmental Design;Bachelor's Degrees;2001
Janel Murazik;450;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Mechanics Tech;Certs of Achievement;2001
Alma Brown;283;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Master's Degrees;2001
Mrs. Minnie Predovic DVM;131;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Doctoral Degrees;2001
Nels Haag;327;460302;Elec Install & Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2001
Audie Torp;226;450101;Social Sciences;Social Sciences Division;Social Science;Psychology;Bachelor's Degrees;2001
Mrs. Verdell Haley PhD;198;400607;Oceanography;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Master's Degrees;2001
Mickey Rosenbaum;434;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Certs of Achievement;2001
Sherilyn Herzog;136;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Doctoral Degrees;2001
Kimberley Koch;453;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Creative Media;Bachelor's Degrees;2001
Shafter Kerluke-Collins;321;520801;Finance;College of Business Admin;Business Administration;Finance;Bachelor's Degrees;2001
Britany Medhurst;110;450601;Economics;College of Arts & Sciences;Social Sciences;Economics;Master's Degrees;2001
Bridger Yost;348;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Master's Degrees;2001
Mrs. Staci Weber; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2001
Sienna Borer-Leffler;129;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Associate Degrees;2001
Tania Parisian MD;195;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Bachelor's Degrees;2001
Dr. Shaquille Johnson;158;510907;Radiology;Career & Tech Ed;Health Services;Radiologic Technology;Associate Degrees;2001
Jaleesa Erdman;326;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Associate Degrees;2001
Shelia Williamson-Bergstrom; 85;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2001
Nicolas Batz IV;368;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Doctoral Degrees;2001
Fabian Walter;322; 50202;American Indian/Native Studies;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Hawaiian Studies;Bachelor's Degrees;2001
Brandi Jaskolski;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2001
Cecily Weber;368;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Doctoral Degrees;2001
Harmon Dare Sr.;439;510707;Health Info/Med Records Tech;Career & Tech Ed;Business Education;Health Information Technology;Certs of Achievement;2001
Alaya VonRueden-Koch;263;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
Dr. Infant Parisian;179;260502;Microbiology;College of Arts & Sciences;Natural Sciences;Microbiology;Doctoral Degrees;2001
Durell Shanahan;266; 50109;Pacific Islands Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Pacific Studies;Master's Degrees;2001
Brandy Hettinger; 27;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2001
Zackary Shanahan; 60;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Doctoral Degrees;2001
Laney Johnson;148;260901;Physiology;School of Medicine;School of Medicine;Biomed Sci (Physiology);Doctoral Degrees;2001
Easter Heller;358;190499;Family Resources;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2001
Alphonso Lehner; 40;160199;Ling, Comp & Rel Lang Studies;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Doctoral Degrees;2001
Dr. Hasan Harris MD;115;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2001
Almeta Hackett;227;512201;Pub Health Sci & Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2001
Alani Daugherty;475;110801;Digital Media, Web Page Design;Career & Tech Ed;Technology;Digital Media Production;Certs of Achievement;2001
Rollin Thompson;362;510904;Emergency Medical Services Mgt;Career & Tech Ed;Health Services;Mobile Intens Care Technician;Associate Degrees;2001
Evelynn Hayes;456;510913;Athletic Training;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2001
